ZipCode,City,County,Total_Population,Asian_Population,AsianPop_Percent,Latitude,Longitude
75001,Addison,Dallas,12414.0,1284.0,10.343160947317545,32.96004868,-96.83841705
75002,Allen,Collin,63140.0,5616.0,8.894520114032309,33.09114075,-96.60697174
75006,Carrollton,Dallas,46364.0,3315.0,7.149943922008455,32.9534111,-96.90187073
75007,Carrollton,Denton,51624.0,7822.0,15.151867348520067,33.00996017,-96.89608765
75010,Carrollton,Denton,21607.0,6081.0,28.143657148146435,33.05482864,-96.87174225
75013,Allen,Collin,30347.0,6752.0,22.249316242132664,33.11642075,-96.68966675
75019,Coppell,Dallas,38666.0,7747.0,20.035690270521904,32.95671844,-96.98239899
75022,Flower Mound,Denton,22545.0,2836.0,12.579285872699048,33.0246315,-97.12666321
75023,Plano,Collin,45452.0,5449.0,11.988471354395847,33.05775833,-96.73078156
75024,Plano,Collin,36039.0,12997.0,36.063708759954494,33.08282852,-96.80519104
75025,Plano,Collin,50926.0,14011.0,27.512469072772255,33.09608078,-96.73710632
75028,Flower Mound,Denton,42226.0,3343.0,7.916923222659025,33.0292511,-97.06442261
75033,Frisco,Denton,70224.0,10814.0,15.4,33.15216064,-96.88406372
75034,Frisco,Denton,72723.0,8251.0,11.345791565254459,33.15216064,-96.88406372
75035,Frisco,Collin,47553.0,7174.0,15.086324732403844,33.16585159,-96.76867676
75036,Frisco,Denton,72723.0,8251.0,11.345791565254459,33.139,-96.911
75038,Irving,Dallas,27802.0,7870.0,28.307316020430186,32.87564087,-96.98287201
75039,Irving,Dallas,11032.0,4272.0,38.723712835387964,32.87966919,-96.9387207
75040,Garland,Dallas,59406.0,6655.0,11.202572130761203,32.93605042,-96.61804199
75042,Garland,Dallas,37881.0,4894.0,12.919405506718407,32.91682053,-96.67675018
75043,Garland,Dallas,58094.0,4400.0,7.573931903466795,32.86528015,-96.58329773
75044,Garland,Dallas,40811.0,8142.0,19.950503540712063,32.95772934,-96.66854095
75048,Sachse,Dallas,20328.0,2464.0,12.121212121212121,32.97061157,-96.58464813
75052,Grand Prairie,Dallas,88996.0,8610.0,9.674592116499618,32.6427002,-97.02545929
75056,The Colony,Denton,47852.0,6451.0,13.481150213157234,33.08293915,-96.9061203
75060,Irving,Dallas,45980.0,2725.0,5.926489778164419,32.79639816,-96.95181274
75061,Irving,Dallas,53442.0,1909.0,3.5720968526626997,32.8254509,-96.96234894
75062,Irving,Dallas,44537.0,3369.0,7.564496935132587,32.84941864,-96.95526123
75063,Irving,Dallas,35090.0,14254.0,40.621259618124824,32.92034149,-96.98268127
75067,Lewisville,Denton,60982.0,5359.0,8.787839034469187,33.01733017,-96.99275208
75070,McKinney,Collin,74734.0,5042.0,6.746594588808306,33.16368103,-96.69715881
75071,McKinney,Collin,36090.0,1430.0,3.9623164311443615,33.25323105,-96.54444885
75074,Plano,Collin,44622.0,4779.0,10.709963695038322,33.03868866,-96.67079926
75075,Plano,Collin,33262.0,2702.0,8.123384041849558,33.02452087,-96.73935699
75080,Richardson,Dallas,44009.0,4023.0,9.141312004362744,32.97169876,-96.74015045
75081,Richardson,Dallas,34156.0,6584.0,19.276261857360346,32.9512291,-96.71524811
75082,Richardson,Collin,21182.0,5260.0,24.832404872061183,32.98968124,-96.67199707
75088,Rowlett,Dallas,24712.0,1644.0,6.652638394302363,32.89044189,-96.53787231
75089,Rowlett,Dallas,30251.0,2306.0,7.622888499553734,32.94459152,-96.53218079
75093,Plano,Collin,47187.0,7780.0,16.487591921503807,33.03746033,-96.81314087
75094,Plano,Collin,20579.0,6655.0,32.33879197239905,33.01171112,-96.61907196
75098,Wylie,Collin,48197.0,2427.0,5.035583127580555,33.01324844,-96.53990936
75181,Mesquite,Dallas,25908.0,1183.0,4.56615717153003,32.72296143,-96.56463623
75182,Sunnyvale,Dallas,5118.0,1356.0,26.494724501758498,32.79840088,-96.56149292
75204,Dallas,Dallas,26279.0,1521.0,5.787891472278245,32.80155182,-96.78795624
75205,Dallas,Dallas,23061.0,1010.0,4.3796886518364335,32.83345032,-96.79329681
75206,Dallas,Dallas,36248.0,1696.0,4.678878834694328,32.83330154,-96.77144623
75219,Dallas,Dallas,22124.0,1649.0,7.453444223467727,32.81230164,-96.81494904
75230,Dallas,Dallas,26934.0,1016.0,3.772183856835227,32.90277863,-96.79402924
75231,Dallas,Dallas,37052.0,2222.0,5.996977221202634,32.8797493,-96.74368286
75235,Dallas,Dallas,17177.0,1260.0,7.335390347557781,32.83285141,-96.84694672
75238,Dallas,Dallas,30483.0,1202.0,3.9431814453957945,32.87965012,-96.7052536
75240,Dallas,Dallas,24296.0,1210.0,4.980243661508068,32.93249893,-96.78450775
75243,Dallas,Dallas,55406.0,4369.0,7.885427571021189,32.91524887,-96.73320007
75248,Dallas,Dallas,33395.0,1196.0,3.58137445725408,32.96846008,-96.79808044
75252,Dallas,Collin,24112.0,3656.0,15.162574651625746,32.99940109,-96.78649902
75254,Dallas,Dallas,23253.0,1545.0,6.644303960779255,32.94606018,-96.79962921
75287,Dallas,Collin,49004.0,3904.0,7.966696596196229,33.00254059,-96.84365082
76001,Arlington,Tarrant,30460.0,1780.0,5.843729481286934,32.62849045,-97.15467072
76002,Arlington,Tarrant,30269.0,2898.0,9.57415177244045,32.61740112,-97.08851624
76006,Arlington,Tarrant,22639.0,1123.0,4.960466451698396,32.78501892,-97.10153198
76010,Arlington,Tarrant,55706.0,3855.0,6.92025993609306,32.7242012,-97.07984924
76013,Arlington,Tarrant,30680.0,2087.0,6.802477183833116,32.72169876,-97.16400146
76014,Arlington,Tarrant,34072.0,3282.0,9.632542850434374,32.69144058,-97.08837891
76016,Arlington,Tarrant,30852.0,2234.0,7.241021651756774,32.69036102,-97.19110107
76017,Arlington,Tarrant,44724.0,2879.0,6.437259636883999,32.66146851,-97.16911316
76018,Arlington,Tarrant,26938.0,3717.0,13.798351770732795,32.65967941,-97.08860016
76021,Bedford,Tarrant,33673.0,1842.0,5.47025807026401,32.85218811,-97.13612366
76034,Colleyville,Tarrant,22748.0,2109.0,9.271144716018991,32.89363098,-97.14598846
76039,Euless,Tarrant,32925.0,4188.0,12.719817767653756,32.86608124,-97.08502197
76040,Euless,Tarrant,27524.0,3363.0,12.218427554134575,32.81003952,-97.10597229
76051,Grapevine,Tarrant,46320.0,2000.0,4.317789291882556,32.9365387,-97.0721817
76053,Hurst,Tarrant,28421.0,1121.0,3.944266563456599,32.81840134,-97.17404938
76063,Mansfield,Tarrant,61361.0,2875.0,4.685386483271134,32.56959915,-97.13114166
76092,Southlake,Tarrant,26669.0,1890.0,7.086879898008924,32.95133972,-97.15144348
76117,Haltom City,Tarrant,30645.0,2156.0,7.035405449502366,32.80329895,-97.26065063
76119,Fort Worth,Tarrant,42761.0,1812.0,4.237506138771311,32.69419861,-97.25743103
76123,Fort Worth,Tarrant,29722.0,2184.0,7.348092322185587,32.62454987,-97.38030243
76131,Fort Worth,Tarrant,28374.0,1742.0,6.139423415803201,32.89371109,-97.36232758
76132,Fort Worth,Tarrant,24709.0,1819.0,7.361690072443238,32.67074966,-97.41545105
76137,Fort Worth,Tarrant,54911.0,3932.0,7.160678188341134,32.85575867,-97.28769684
76179,Fort Worth,Tarrant,48058.0,1823.0,3.7933330558907983,32.93112183,-97.43872833
76180,North Richland Hills,Tarrant,33444.0,1416.0,4.233943308216721,32.86822128,-97.21655273
76201,Denton,Denton,27107.0,2177.0,8.031135868963736,33.2202301,-97.1503067
76210,Denton,Denton,39556.0,1761.0,4.451916270603701,33.14474869,-97.08849335
76244,Keller,Tarrant,60388.0,4277.0,7.0825329535669335,32.92906189,-97.25063324
76248,Keller,Tarrant,34647.0,1557.0,4.493895575374491,32.93098831,-97.25169373
76262,Roanoke,Denton,27648.0,1093.0,3.953269675925926,33.02183914,-97.22889709
